"zip","population","zip_code","latitude","longitude","city","state","county"
91335,80937,91335,33.7866,-118.299,"Reseda","CA","Los Angeles"
95823,80842,95823,38.4814,-121.442,"Sacramento","CA","Sacramento"
78542,80837,78542,26.3547,-98.112,"Edinburg","TX","Hidalgo"
37042,80661,37042,36.5018,-87.3992,"Clarksville","TN","Montgomery"
30024,80598,30024,34.0425,-84.0262,"Suwanee","GA","Gwinnett"
11223,80500,11223,40.6338,-73.9544,"Brooklyn","NY","Kings"
75035,80269,75035,33.1571,-96.7729,"Frisco","TX","Collin"
78572,80135,78572,26.2296,-98.1927,"Mission","TX","Hidalgo"
60608,80011,60608,41.8119,-87.6873,"Chicago","IL","Cook"
79912,79861,79912,31.8972,-106.565,"El Paso","TX","El Paso"
11233,79796,11233,40.6821,-73.9206,"Brooklyn","NY","Kings"
78130,79786,78130,29.7765,-98.221,"New Braunfels","TX","Comal"
95630,79584,95630,38.5942,-121.311,"Folsom","CA","Sacramento"
725,79395,725,18.213,-66.058,"Caguas","PR","Caguas"
28269,79059,28269,35.332,-80.7986,"Charlotte","NC","Mecklenburg"
10453,78858,10453,40.8527,-73.9125,"Bronx","NY","Bronx"
60625,78820,60625,41.8119,-87.6873,"Chicago","IL","Cook"
76244,78815,76244,32.7714,-97.2915,"Keller","TX","Tarrant"
10468,78778,10468,40.871,-73.9005,"Bronx","NY","Bronx"
47906,78767,47906,40.4673,-86.9281,"West Lafayette","IN","Tippecanoe"
78577,78731,78577,26.1867,-98.1278,"Pharr","TX","Hidalgo"
94533,78695,94533,38.2784,-122.02,"Fairfield","CA","Solano"
78641,78568,78641,30.5835,-97.8575,"Leander","TX","Williamson"
94544,78333,94544,37.6139,-122.062,"Hayward","CA","Alameda"
77083,78240,77083,29.834,-95.4342,"Houston","TX","Harris"
75211,77920,75211,32.7365,-96.835,"Dallas","TX","Dallas"
60623,77732,60623,41.8119,-87.6873,"Chicago","IL","Cook"
87121,77671,87121,35.0597,-106.806,"Albuquerque","NM","Bernalillo"
23464,77623,23464,36.7995,-76.1784,"Virginia Beach","VA","Virginia Beach City"
11203,77589,11203,40.6636,-73.9494,"Brooklyn","NY","Kings"
85142,77101,85142,33.1915,-111.621,"Queen Creek","AZ","Maricopa"
11235,76921,11235,40.5845,-73.9484,"Brooklyn","NY","Kings"
77459,76662,77459,29.324,-95.6499,"Missouri City","TX","Fort Bend"
76063,76609,76063,32.7714,-97.2915,"Mansfield","TX","Tarrant"
91706,76581,91706,33.7866,-118.299,"Baldwin Park","CA","Los Angeles"
78245,76392,78245,29.4069,-98.7227,"San Antonio","TX","Bexar"
90706,76339,90706,33.888,-118.13,"Bellflower","CA","Los Angeles"
96706,76081,96706,21.3445,-158.014,"Ewa Beach","HI","Honolulu"
92105,75990,92105,32.7374,-117.087,"San Diego","CA","San Diego"
11204,75840,11204,40.6038,-73.9876,"Brooklyn","NY","Kings"
77450,75752,77450,29.834,-95.4342,"Katy","TX","Harris"
33311,75705,33311,26.1443,-80.1839,"Fort Lauderdale","FL","Broward"
33024,75701,33024,26.0296,-80.2489,"Hollywood","FL","Broward"
30349,75647,30349,33.6181,-84.5501,"Atlanta","GA","Fulton"
93550,75617,93550,33.7866,-118.299,"Palmdale","CA","Los Angeles"
60634,75604,60634,41.9334,-87.8163,"Chicago","IL","Cook"
93257,75483,93257,35.9738,-118.704,"Porterville","CA","Tulare"
10462,75441,10462,40.8427,-73.8547,"Bronx","NY","Bronx"
95035,75367,95035,37.4365,-121.862,"Milpitas","CA","Santa Clara"
75228,75303,75228,32.8323,-96.6821,"Dallas","TX","Dallas"
89108,75201,89108,36.2187,-115.214,"Las Vegas","NV","Clark"
37211,75199,37211,36.0704,-86.7183,"Nashville","TN","Davidson"
93274,75068,93274,36.1335,-119.3,"Tulare","CA","Tulare"
94587,75067,94587,37.5891,-121.974,"Union City","CA","Alameda"
63376,75031,63376,38.7988,-90.6237,"St. Peters","MO","St. Charles"
93535,74944,93535,33.7866,-118.299,"Lancaster","CA","Los Angeles"
33023,74913,33023,25.9967,-80.2574,"Hollywood","FL","Broward"
91730,74843,91730,34.84,-115.967,"Rancho Cucamonga","CA","San Bernardino"
34787,74842,34787,28.4686,-81.5123,"Winter Garden","FL","Orange"
92882,74742,92882,33.7529,-116.056,"Corona","CA","Riverside"
10457,74679,10457,40.8461,-73.8983,"Bronx","NY","Bronx"
10029,74617,10029,40.7919,-73.9435,"New York City","NY","New York"
33012,74603,33012,25.8595,-80.2239,"Hialeah","FL","Miami-Dade"
